ticker,exchange,assetType,priceCurrency,startDate,endDate
CBNK,NASDAQ,Stock,USD,9/26/18,8/11/20
ETTX,NASDAQ,Stock,USD,9/26/18,8/11/20
FPAYW,NASDAQ,Stock,USD,9/26/18,2/19/20
SVMK,NASDAQ,Stock,USD,9/26/18,8/11/20
VIOT,NASDAQ,Stock,USD,9/25/18,8/11/20
BNGO,NASDAQ,Stock,USD,9/21/18,8/11/20
BNGOW,NASDAQ,Stock,USD,9/21/18,8/11/20
YMAB,NASDAQ,Stock,USD,9/21/18,8/11/20
BSVN,NASDAQ,Stock,USD,9/20/18,8/11/20
CMCTP,NASDAQ,Stock,USD,9/18/18,8/11/20
MRCCL,NASDAQ,Stock,USD,9/18/18,8/11/20
KLXE,NASDAQ,Stock,USD,9/17/18,8/11/20
BHFAL,NASDAQ,Stock,USD,9/14/18,8/11/20
PRNB,NASDAQ,Stock,USD,9/14/18,8/11/20
QTT,NASDAQ,Stock,USD,9/14/18,8/11/20
FTDRV,NASDAQ,Stock,USD,9/13/18,9/28/18
FMCI,NASDAQ,Stock,USD,9/12/18,8/11/20
GSMG,NASDAQ,Stock,USD,9/12/18,8/11/20
GSMGW,NASDAQ,Stock,USD,9/12/18,8/11/20
RILYI,NASDAQ,Stock,USD,9/12/18,8/11/20
TKKSR,NASDAQ,Stock,USD,9/12/18,2/18/20
YI,NASDAQ,Stock,USD,9/12/18,8/11/20
RLM,NASDAQ,Stock,USD,9/5/18,7/31/19
AMTB,NASDAQ,Stock,USD,8/29/18,8/11/20
AMTBB,NASDAQ,Stock,USD,8/29/18,8/11/20
BPYUP,NASDAQ,Stock,USD,8/29/18,8/11/20
KLXEV,NASDAQ,Stock,USD,8/29/18,9/14/18
KLXIV,NASDAQ,Stock,USD,8/29/18,9/14/18
LOACU,NASDAQ,Stock,USD,8/29/18,8/11/20
MBNAA,NASDAQ,Stock,USD,8/29/18,10/23/18
MBNAB,NASDAQ,Stock,USD,8/29/18,10/23/18
BPYU,NASDAQ,Stock,USD,8/28/18,8/11/20
TOTA,NASDAQ,Stock,USD,8/27/18,8/11/20
TOTAR,NASDAQ,Stock,USD,8/27/18,8/11/20
TOTAW,NASDAQ,Stock,USD,8/27/18,8/11/20
LKCO,NASDAQ,Stock,USD,8/23/18,8/11/20
BNGOU,NASDAQ,Stock,USD,8/21/18,9/20/18
TZACU,NASDAQ,Stock,USD,8/21/18,8/11/20
SIC,NASDAQ,Stock,USD,8/16/18,8/11/20
TKKSU,NASDAQ,Stock,USD,8/16/18,2/18/20
GAINL,NASDAQ,Stock,USD,8/15/18,8/11/20
ARDS,NASDAQ,Stock,USD,8/14/18,8/11/20
ALGR,NASDAQ,Stock,USD,8/13/18,4/20/20
ALGRR,NASDAQ,Stock,USD,8/13/18,4/20/20
ALGRW,NASDAQ,Stock,USD,8/13/18,4/20/20
MESA,NASDAQ,Stock,USD,8/10/18,8/11/20
YVR,NASDAQ,Stock,USD,8/10/18,8/11/20
SOLOW,NASDAQ,Stock,USD,8/9/18,8/11/20
VCNX,NASDAQ,Stock,USD,8/9/18,8/11/20
GLACR,NASDAQ,Stock,USD,8/8/18,10/28/19
GTEC,NASDAQ,Stock,USD,8/8/18,8/11/20
AMAL,NASDAQ,Stock,USD,8/7/18,8/11/20
SFET,NASDAQ,Stock,USD,8/7/18,8/11/20
SOLO,NASDAQ,Stock,USD,8/7/18,8/11/20
SONO,NASDAQ,Stock,USD,8/2/18,8/11/20
TOTAU,NASDAQ,Stock,USD,8/2/18,8/11/20
ADIL,NASDAQ,Stock,USD,7/27/18,8/11/20
ADILW,NASDAQ,Stock,USD,7/27/18,8/11/20
NFC,NASDAQ,Stock,USD,7/27/18,12/18/19
OPRA,NASDAQ,Stock,USD,7/27/18,8/11/20
WISA,NASDAQ,Stock,USD,7/27/18,8/11/20
